id,type,src,dst,app,latency,message,ctime,size,buffer
114,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,1700,20009999,1
115,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,1700,20,2
117,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1700,20,3
118,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1700,20,4
119,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,1700,20,5
120,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,1800,20009999,0
121,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,1800,20009999,1
122,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,1800,20,2
124,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1800,20,3
125,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1800,20,4
126,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,1800,20,5
127,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,1900,20009999,0
128,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,1900,20009999,1
129,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,1900,20,2
131,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1900,20,3
132,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1900,20,4
133,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,1900,20,5
134,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2000,20009999,0
135,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2000,20009999,1
136,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2000,20,2
138,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2000,20,3
139,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2000,20,4
140,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2000,20,5
141,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2100,20009999,0
142,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2100,20009999,1
143,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2100,20,2
145,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2100,20,3
146,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2100,20,4
147,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,2100,20,5
148,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,2200,20009999,0
149,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,2200,20009999,1
150,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,2200,20,2
152,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,2200,20,3
153,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,2200,20,4
