time,total_nodes,cloud_nodes,proxy_nodes,fog_nodes,end_nodes,other_nodes
43100,70,1,1,8,0,60
43150,70,1,1,8,0,60
43200,70,1,1,8,0,60
43250,70,1,1,8,0,60
43300,72,1,1,10,0,60
43350,72,1,1,10,0,60
43400,70,1,1,8,0,60
43450,70,1,1,8,0,60
43500,70,1,1,8,0,60
43550,70,1,1,8,0,60
43600,72,1,1,10,0,60
43650,72,1,1,10,0,60
43700,70,1,1,8,0,60
43750,70,1,1,8,0,60
43800,70,1,1,8,0,60
43850,70,1,1,8,0,60
43900,72,1,1,10,0,60
43950,72,1,1,10,0,60
44000,70,1,1,8,0,60
44050,70,1,1,8,0,60
44100,70,1,1,8,0,60
44150,70,1,1,8,0,60
44200,72,1,1,10,0,60
44250,72,1,1,10,0,60
44300,70,1,1,8,0,60
44350,70,1,1,8,0,60
44400,70,1,1,8,0,60
44450,70,1,1,8,0,60
44500,72,1,1,10,0,60
44550,72,1,1,10,0,60
44600,70,1,1,8,0,60
44650,70,1,1,8,0,60
44700,70,1,1,8,0,60
44750,70,1,1,8,0,60
44800,72,1,1,10,0,60
44850,72,1,1,10,0,60
44900,70,1,1,8,0,60
44950,70,1,1,8,0,60
45000,70,1,1,8,0,60
45050,70,1,1,8,0,60
45100,72,1,1,10,0,60
45150,72,1,1,10,0,60
45200,70,1,1,8,0,60
45250,70,1,1,8,0,60
45300,70,1,1,8,0,60
45350,70,1,1,8,0,60
45400,72,1,1,10,0,60
45450,72,1,1,10,0,60
45500,70,1,1,8,0,60
45550,70,1,1,8,0,60
45600,70,1,1,8,0,60
45650,70,1,1,8,0,60
45700,72,1,1,10,0,60
45750,72,1,1,10,0,60
45800,70,1,1,8,0,60
45850,70,1,1,8,0,60
45900,70,1,1,8,0,60
45950,70,1,1,8,0,60
46000,72,1,1,10,0,60
46050,72,1,1,10,0,60
46100,70,1,1,8,0,60
46150,70,1,1,8,0,60
46200,70,1,1,8,0,60
46250,70,1,1,8,0,60
46300,72,1,1,10,0,60
46350,72,1,1,10,0,60
46400,70,1,1,8,0,60
46450,70,1,1,8,0,60
46500,70,1,1,8,0,60
46550,70,1,1,8,0,60
46600,72,1,1,10,0,60
46650,72,1,1,10,0,60
46700,70,1,1,8,0,60
46750,70,1,1,8,0,60
46800,70,1,1,8,0,60
46850,70,1,1,8,0,60
46900,72,1,1,10,0,60
46950,72,1,1,10,0,60
47000,70,1,1,8,0,60
47050,70,1,1,8,0,60
47100,70,1,1,8,0,60
47150,70,1,1,8,0,60
47200,72,1,1,10,0,60
47250,72,1,1,10,0,60
47300,70,1,1,8,0,60
47350,70,1,1,8,0,60
47400,70,1,1,8,0,60
47450,70,1,1,8,0,60
47500,72,1,1,10,0,60
47550,72,1,1,10,0,60
47600,70,1,1,8,0,60
47650,70,1,1,8,0,60
47700,70,1,1,8,0,60
47750,70,1,1,8,0,60
47800,72,1,1,10,0,60
47850,72,1,1,10,0,60
47900,70,1,1,8,0,60
47950,70,1,1,8,0,60
48000,70,1,1,8,0,60
48050,70,1,1,8,0,60
48100,72,1,1,10,0,60
48150,72,1,1,10,0,60
48200,70,1,1,8,0,60
48250,70,1,1,8,0,60
48300,70,1,1,8,0,60
48350,70,1,1,8,0,60
48400,72,1,1,10,0,60
48450,72,1,1,10,0,60
48500,70,1,1,8,0,60
48550,70,1,1,8,0,60
48600,70,1,1,8,0,60
48650,70,1,1,8,0,60
48700,72,1,1,10,0,60
48750,72,1,1,10,0,60
48800,70,1,1,8,0,60
48850,70,1,1,8,0,60
48900,70,1,1,8,0,60
48950,70,1,1,8,0,60
49000,72,1,1,10,0,60
49050,72,1,1,10,0,60
49100,70,1,1,8,0,60
49150,70,1,1,8,0,60
49200,70,1,1,8,0,60
49250,70,1,1,8,0,60
49300,72,1,1,10,0,60
49350,72,1,1,10,0,60
49400,70,1,1,8,0,60
49450,70,1,1,8,0,60
49500,70,1,1,8,0,60
49550,70,1,1,8,0,60
49600,72,1,1,10,0,60
49650,72,1,1,10,0,60
49700,70,1,1,8,0,60
49750,70,1,1,8,0,60
49800,70,1,1,8,0,60
49850,70,1,1,8,0,60
49900,72,1,1,10,0,60
49950,72,1,1,10,0,60
50000,70,1,1,8,0,60
50050,70,1,1,8,0,60
50100,70,1,1,8,0,60
50150,70,1,1,8,0,60
50200,72,1,1,10,0,60
50250,72,1,1,10,0,60
50300,70,1,1,8,0,60
50350,70,1,1,8,0,60
50400,70,1,1,8,0,60
50450,70,1,1,8,0,60
50500,72,1,1,10,0,60
50550,72,1,1,10,0,60
50600,70,1,1,8,0,60
50650,70,1,1,8,0,60
50700,70,1,1,8,0,60
50750,70,1,1,8,0,60
50800,72,1,1,10,0,60
50850,72,1,1,10,0,60
50900,70,1,1,8,0,60
50950,70,1,1,8,0,60
51000,70,1,1,8,0,60
51050,70,1,1,8,0,60
51100,72,1,1,10,0,60
51150,72,1,1,10,0,60
51200,70,1,1,8,0,60
51250,70,1,1,8,0,60
51300,70,1,1,8,0,60
51350,70,1,1,8,0,60
51400,72,1,1,10,0,60
51450,72,1,1,10,0,60
51500,70,1,1,8,0,60
51550,70,1,1,8,0,60
51600,70,1,1,8,0,60
51650,70,1,1,8,0,60
51700,72,1,1,10,0,60
51750,72,1,1,10,0,60
51800,70,1,1,8,0,60
51850,70,1,1,8,0,60
51900,70,1,1,8,0,60
51950,70,1,1,8,0,60
52000,72,1,1,10,0,60
52050,72,1,1,10,0,60
52100,70,1,1,8,0,60
52150,70,1,1,8,0,60
52200,70,1,1,8,0,60
52250,70,1,1,8,0,60
52300,72,1,1,10,0,60
52350,72,1,1,10,0,60
52400,70,1,1,8,0,60
52450,70,1,1,8,0,60
52500,70,1,1,8,0,60
52550,70,1,1,8,0,60
52600,72,1,1,10,0,60
52650,72,1,1,10,0,60
52700,70,1,1,8,0,60
52750,70,1,1,8,0,60
52800,70,1,1,8,0,60
52850,70,1,1,8,0,60
52900,72,1,1,10,0,60
52950,72,1,1,10,0,60
53000,70,1,1,8,0,60
53050,70,1,1,8,0,60
53100,70,1,1,8,0,60
53150,70,1,1,8,0,60
53200,72,1,1,10,0,60
53250,72,1,1,10,0,60
53300,70,1,1,8,0,60
53350,70,1,1,8,0,60
53400,70,1,1,8,0,60
53450,70,1,1,8,0,60
53500,72,1,1,10,0,60
53550,72,1,1,10,0,60
53600,70,1,1,8,0,60
53650,70,1,1,8,0,60
53700,70,1,1,8,0,60
53750,70,1,1,8,0,60
53800,72,1,1,10,0,60
53850,72,1,1,10,0,60
53900,70,1,1,8,0,60
53950,70,1,1,8,0,60
54000,70,1,1,8,0,60
54050,70,1,1,8,0,60
54100,72,1,1,10,0,60
54150,72,1,1,10,0,60
54200,70,1,1,8,0,60
54250,70,1,1,8,0,60
54300,70,1,1,8,0,60
54350,70,1,1,8,0,60
54400,72,1,1,10,0,60
54450,72,1,1,10,0,60
54500,70,1,1,8,0,60
54550,70,1,1,8,0,60
54600,70,1,1,8,0,60
54650,70,1,1,8,0,60
54700,72,1,1,10,0,60
54750,72,1,1,10,0,60
54800,70,1,1,8,0,60
54850,70,1,1,8,0,60
54900,70,1,1,8,0,60
54950,70,1,1,8,0,60
55000,72,1,1,10,0,60
55050,72,1,1,10,0,60
55100,70,1,1,8,0,60
55150,70,1,1,8,0,60
55200,70,1,1,8,0,60
55250,70,1,1,8,0,60
55300,72,1,1,10,0,60
