time,total_nodes,cloud_nodes,proxy_nodes,fog_nodes,end_nodes,other_nodes
54350,72,1,1,10,0,60
54400,73,1,1,11,0,60
54450,73,1,1,11,0,60
54500,72,1,1,10,0,60
54550,72,1,1,10,0,60
54600,72,1,1,10,0,60
54650,72,1,1,10,0,60
54700,73,1,1,11,0,60
54750,73,1,1,11,0,60
54800,72,1,1,10,0,60
54850,72,1,1,10,0,60
54900,72,1,1,10,0,60
54950,72,1,1,10,0,60
55000,73,1,1,11,0,60
55050,73,1,1,11,0,60
55100,72,1,1,10,0,60
55150,72,1,1,10,0,60
55200,72,1,1,10,0,60
55250,72,1,1,10,0,60
55300,73,1,1,11,0,60
55350,73,1,1,11,0,60
55400,72,1,1,10,0,60
55450,72,1,1,10,0,60
55500,72,1,1,10,0,60
55550,72,1,1,10,0,60
55600,73,1,1,11,0,60
55650,73,1,1,11,0,60
55700,72,1,1,10,0,60
55750,72,1,1,10,0,60
55800,72,1,1,10,0,60
55850,72,1,1,10,0,60
55900,73,1,1,11,0,60
55950,73,1,1,11,0,60
56000,72,1,1,10,0,60
56050,72,1,1,10,0,60
56100,72,1,1,10,0,60
56150,72,1,1,10,0,60
56200,73,1,1,11,0,60
56250,73,1,1,11,0,60
56300,72,1,1,10,0,60
56350,72,1,1,10,0,60
56400,72,1,1,10,0,60
56450,72,1,1,10,0,60
56500,73,1,1,11,0,60
56550,73,1,1,11,0,60
56600,72,1,1,10,0,60
56650,72,1,1,10,0,60
56700,72,1,1,10,0,60
56750,72,1,1,10,0,60
56800,73,1,1,11,0,60
56850,73,1,1,11,0,60
56900,72,1,1,10,0,60
56950,72,1,1,10,0,60
57000,72,1,1,10,0,60
57050,72,1,1,10,0,60
57100,73,1,1,11,0,60
57150,73,1,1,11,0,60
57200,72,1,1,10,0,60
57250,72,1,1,10,0,60
57300,72,1,1,10,0,60
57350,72,1,1,10,0,60
57400,73,1,1,11,0,60
57450,73,1,1,11,0,60
57500,72,1,1,10,0,60
57550,72,1,1,10,0,60
57600,72,1,1,10,0,60
57650,72,1,1,10,0,60
57700,73,1,1,11,0,60
57750,73,1,1,11,0,60
57800,72,1,1,10,0,60
57850,72,1,1,10,0,60
57900,72,1,1,10,0,60
57950,72,1,1,10,0,60
58000,73,1,1,11,0,60
58050,73,1,1,11,0,60
58100,72,1,1,10,0,60
58150,72,1,1,10,0,60
58200,72,1,1,10,0,60
58250,72,1,1,10,0,60
58300,73,1,1,11,0,60
58350,73,1,1,11,0,60
58400,72,1,1,10,0,60
58450,72,1,1,10,0,60
58500,72,1,1,10,0,60
58550,72,1,1,10,0,60
58600,73,1,1,11,0,60
58650,73,1,1,11,0,60
58700,72,1,1,10,0,60
58750,72,1,1,10,0,60
58800,72,1,1,10,0,60
58850,72,1,1,10,0,60
58900,73,1,1,11,0,60
58950,73,1,1,11,0,60
59000,72,1,1,10,0,60
59050,72,1,1,10,0,60
59100,72,1,1,10,0,60
59150,72,1,1,10,0,60
59200,73,1,1,11,0,60
59250,73,1,1,11,0,60
59300,72,1,1,10,0,60
59350,72,1,1,10,0,60
59400,72,1,1,10,0,60
59450,72,1,1,10,0,60
59500,73,1,1,11,0,60
59550,73,1,1,11,0,60
59600,72,1,1,10,0,60
59650,72,1,1,10,0,60
59700,72,1,1,10,0,60
59750,72,1,1,10,0,60
59800,73,1,1,11,0,60
59850,73,1,1,11,0,60
59900,72,1,1,10,0,60
59950,72,1,1,10,0,60
60000,72,1,1,10,0,60
60050,72,1,1,10,0,60
60100,73,1,1,11,0,60
60150,73,1,1,11,0,60
60200,72,1,1,10,0,60
60250,72,1,1,10,0,60
60300,72,1,1,10,0,60
60350,72,1,1,10,0,60
60400,73,1,1,11,0,60
60450,73,1,1,11,0,60
60500,72,1,1,10,0,60
60550,72,1,1,10,0,60
60600,72,1,1,10,0,60
60650,72,1,1,10,0,60
60700,73,1,1,11,0,60
60750,73,1,1,11,0,60
60800,72,1,1,10,0,60
60850,72,1,1,10,0,60
60900,72,1,1,10,0,60
60950,72,1,1,10,0,60
61000,73,1,1,11,0,60
61050,73,1,1,11,0,60
61100,72,1,1,10,0,60
61150,72,1,1,10,0,60
61200,72,1,1,10,0,60
61250,72,1,1,10,0,60
61300,73,1,1,11,0,60
61350,73,1,1,11,0,60
61400,72,1,1,10,0,60
61450,72,1,1,10,0,60
61500,72,1,1,10,0,60
61550,72,1,1,10,0,60
61600,73,1,1,11,0,60
61650,73,1,1,11,0,60
61700,72,1,1,10,0,60
61750,72,1,1,10,0,60
61800,72,1,1,10,0,60
61850,72,1,1,10,0,60
61900,73,1,1,11,0,60
61950,73,1,1,11,0,60
62000,72,1,1,10,0,60
62050,72,1,1,10,0,60
62100,72,1,1,10,0,60
62150,72,1,1,10,0,60
62200,73,1,1,11,0,60
62250,73,1,1,11,0,60
62300,72,1,1,10,0,60
62350,72,1,1,10,0,60
62400,72,1,1,10,0,60
62450,72,1,1,10,0,60
62500,73,1,1,11,0,60
62550,73,1,1,11,0,60
62600,72,1,1,10,0,60
62650,72,1,1,10,0,60
62700,72,1,1,10,0,60
62750,72,1,1,10,0,60
62800,73,1,1,11,0,60
62850,73,1,1,11,0,60
62900,72,1,1,10,0,60
62950,72,1,1,10,0,60
63000,72,1,1,10,0,60
63050,72,1,1,10,0,60
63100,73,1,1,11,0,60
63150,73,1,1,11,0,60
63200,72,1,1,10,0,60
63250,72,1,1,10,0,60
63300,72,1,1,10,0,60
63350,72,1,1,10,0,60
63400,73,1,1,11,0,60
63450,73,1,1,11,0,60
63500,72,1,1,10,0,60
63550,72,1,1,10,0,60
63600,72,1,1,10,0,60
63650,72,1,1,10,0,60
63700,73,1,1,11,0,60
63750,73,1,1,11,0,60
63800,72,1,1,10,0,60
63850,72,1,1,10,0,60
63900,72,1,1,10,0,60
63950,72,1,1,10,0,60
64000,73,1,1,11,0,60
64050,73,1,1,11,0,60
64100,72,1,1,10,0,60
64150,72,1,1,10,0,60
64200,72,1,1,10,0,60
64250,72,1,1,10,0,60
64300,73,1,1,11,0,60
64350,73,1,1,11,0,60
64400,72,1,1,10,0,60
64450,72,1,1,10,0,60
64500,72,1,1,10,0,60
64550,72,1,1,10,0,60
64600,73,1,1,11,0,60
64650,73,1,1,11,0,60
64700,72,1,1,10,0,60
64750,72,1,1,10,0,60
64800,72,1,1,10,0,60
64850,72,1,1,10,0,60
64900,73,1,1,11,0,60
64950,73,1,1,11,0,60
65000,72,1,1,10,0,60
65050,72,1,1,10,0,60
65100,72,1,1,10,0,60
65150,72,1,1,10,0,60
65200,73,1,1,11,0,60
65250,73,1,1,11,0,60
65300,72,1,1,10,0,60
65350,72,1,1,10,0,60
65400,72,1,1,10,0,60
65450,72,1,1,10,0,60
65500,73,1,1,11,0,60
65550,73,1,1,11,0,60
65600,72,1,1,10,0,60
65650,72,1,1,10,0,60
65700,72,1,1,10,0,60
65750,72,1,1,10,0,60
65800,73,1,1,11,0,60
65850,73,1,1,11,0,60
65900,72,1,1,10,0,60
65950,72,1,1,10,0,60
66000,72,1,1,10,0,60
66050,72,1,1,10,0,60
66100,73,1,1,11,0,60
66150,73,1,1,11,0,60
66200,72,1,1,10,0,60
66250,72,1,1,10,0,60
66300,72,1,1,10,0,60
66350,72,1,1,10,0,60
66400,73,1,1,11,0,60
66450,73,1,1,11,0,60
66500,72,1,1,10,0,60
66550,72,1,1,10,0,60
66600,72,1,1,10,0,60
66650,72,1,1,10,0,60
66700,73,1,1,11,0,60
66750,73,1,1,11,0,60
66800,72,1,1,10,0,60
66850,72,1,1,10,0,60
66900,72,1,1,10,0,60
66950,72,1,1,10,0,60
67000,73,1,1,11,0,60
67050,73,1,1,11,0,60
67100,72,1,1,10,0,60
67150,72,1,1,10,0,60
67200,72,1,1,10,0,60
67250,72,1,1,10,0,60
67300,73,1,1,11,0,60
67350,73,1,1,11,0,60
67400,72,1,1,10,0,60
67450,72,1,1,10,0,60
67500,72,1,1,10,0,60
67550,72,1,1,10,0,60
67600,73,1,1,11,0,60
67650,73,1,1,11,0,60
67700,72,1,1,10,0,60
67750,72,1,1,10,0,60
67800,72,1,1,10,0,60
67850,72,1,1,10,0,60
67900,73,1,1,11,0,60
67950,73,1,1,11,0,60
68000,72,1,1,10,0,60
68050,72,1,1,10,0,60
68100,72,1,1,10,0,60
68150,72,1,1,10,0,60
68200,73,1,1,11,0,60
68250,73,1,1,11,0,60
68300,72,1,1,10,0,60
68350,72,1,1,10,0,60
68400,72,1,1,10,0,60
68450,72,1,1,10,0,60
68500,73,1,1,11,0,60
68550,73,1,1,11,0,60
68600,72,1,1,10,0,60
68650,72,1,1,10,0,60
68700,72,1,1,10,0,60
68750,72,1,1,10,0,60
68800,73,1,1,11,0,60
68850,73,1,1,11,0,60
68900,72,1,1,10,0,60
68950,72,1,1,10,0,60
69000,72,1,1,10,0,60
69050,72,1,1,10,0,60
69100,73,1,1,11,0,60
69150,73,1,1,11,0,60
69200,72,1,1,10,0,60
69250,72,1,1,10,0,60
69300,72,1,1,10,0,60
69350,72,1,1,10,0,60
69400,73,1,1,11,0,60
69450,73,1,1,11,0,60
69500,72,1,1,10,0,60
69550,72,1,1,10,0,60
69600,72,1,1,10,0,60
69650,72,1,1,10,0,60
