time,total_nodes,cloud_nodes,proxy_nodes,fog_nodes,end_nodes,other_nodes
12700,71,1,1,9,0,60
12750,71,1,1,9,0,60
12800,68,1,1,6,0,60
12850,68,1,1,6,0,60
12900,68,1,1,6,0,60
12950,68,1,1,6,0,60
13000,71,1,1,9,0,60
13050,71,1,1,9,0,60
13100,68,1,1,6,0,60
13150,68,1,1,6,0,60
13200,68,1,1,6,0,60
13250,68,1,1,6,0,60
13300,71,1,1,9,0,60
13350,71,1,1,9,0,60
13400,68,1,1,6,0,60
13450,68,1,1,6,0,60
13500,68,1,1,6,0,60
13550,68,1,1,6,0,60
13600,71,1,1,9,0,60
13650,71,1,1,9,0,60
13700,68,1,1,6,0,60
13750,68,1,1,6,0,60
13800,68,1,1,6,0,60
13850,68,1,1,6,0,60
13900,71,1,1,9,0,60
13950,71,1,1,9,0,60
14000,68,1,1,6,0,60
14050,68,1,1,6,0,60
14100,68,1,1,6,0,60
14150,68,1,1,6,0,60
14200,71,1,1,9,0,60
14250,71,1,1,9,0,60
14300,68,1,1,6,0,60
14350,68,1,1,6,0,60
14400,68,1,1,6,0,60
14450,68,1,1,6,0,60
14500,71,1,1,9,0,60
14550,71,1,1,9,0,60
14600,68,1,1,6,0,60
14650,68,1,1,6,0,60
14700,68,1,1,6,0,60
14750,68,1,1,6,0,60
14800,71,1,1,9,0,60
14850,71,1,1,9,0,60
14900,68,1,1,6,0,60
14950,68,1,1,6,0,60
15000,68,1,1,6,0,60
15050,68,1,1,6,0,60
15100,71,1,1,9,0,60
15150,71,1,1,9,0,60
15200,68,1,1,6,0,60
15250,68,1,1,6,0,60
15300,68,1,1,6,0,60
15350,68,1,1,6,0,60
15400,71,1,1,9,0,60
15450,71,1,1,9,0,60
15500,68,1,1,6,0,60
15550,68,1,1,6,0,60
15600,68,1,1,6,0,60
15650,68,1,1,6,0,60
15700,71,1,1,9,0,60
15750,71,1,1,9,0,60
15800,68,1,1,6,0,60
15850,68,1,1,6,0,60
15900,68,1,1,6,0,60
15950,68,1,1,6,0,60
16000,71,1,1,9,0,60
16050,71,1,1,9,0,60
16100,68,1,1,6,0,60
16150,68,1,1,6,0,60
16200,68,1,1,6,0,60
16250,68,1,1,6,0,60
16300,71,1,1,9,0,60
16350,71,1,1,9,0,60
16400,68,1,1,6,0,60
16450,68,1,1,6,0,60
16500,68,1,1,6,0,60
16550,68,1,1,6,0,60
16600,71,1,1,9,0,60
16650,71,1,1,9,0,60
16700,68,1,1,6,0,60
16750,68,1,1,6,0,60
16800,68,1,1,6,0,60
16850,68,1,1,6,0,60
16900,71,1,1,9,0,60
16950,71,1,1,9,0,60
17000,68,1,1,6,0,60
17050,68,1,1,6,0,60
17100,68,1,1,6,0,60
17150,68,1,1,6,0,60
17200,71,1,1,9,0,60
17250,71,1,1,9,0,60
17300,68,1,1,6,0,60
